iter	Passed	Remaining
455	836	998
456	837	995
457	839	993
458	841	992
459	842	989
460	844	986
461	845	984
462	846	981
463	847	978
464	848	976
465	849	974
466	851	971
467	852	968
468	853	966
469	854	963
470	856	961
471	857	959
472	859	957
473	860	955
474	862	953
475	863	950
476	864	947
477	865	945
478	866	942
479	867	940
480	870	939
481	871	936
482	872	934
483	873	931
484	875	929
485	876	926
486	877	924
487	878	921
488	879	919
489	881	917
490	882	914
491	883	912
492	885	910
493	886	908
494	887	905
495	889	903
496	890	900
497	891	898
498	892	896
499	893	893
500	894	891
501	896	888
502	897	886
503	899	884
504	900	882
505	902	880
506	903	878
507	904	875
508	905	873
509	906	871
510	907	868
511	909	866
512	910	864
513	912	862
514	914	861
515	915	859
516	917	856
517	918	854
518	919	851
519	920	849
520	921	847
521	922	844
522	923	842
523	925	840
524	926	837
525	927	835
526	929	834
527	930	831
528	931	829
529	933	827
530	934	825
531	935	822
532	936	820
533	937	818
534	939	816
535	940	813
536	941	811
537	942	809
538	945	808
539	946	806
540	947	803
541	949	802
542	951	800
543	952	798
544	953	796
545	955	794
546	956	792
547	958	790
548	959	788
549	961	786
550	962	784
551	963	781
552	964	779
553	965	777
554	967	775
555	968	773
556	969	770
557	970	768
558	971	766
559	973	765
560	974	762
561	976	760
562	977	758
563	978	756
564	979	754
565	980	752
566	982	749
567	983	747
568	984	745
569	985	743
570	988	742
571	989	740
572	990	738
573	991	736
574	993	734
575	994	731
576	996	730
577	998	728
578	1000	727
579	1002	725
580	1004	724
581	1006	723
582	1009	721
583	1011	720
584	1012	718
585	1015	717
586	1020	717
587	1022	716
588	1024	714
589	1026	713
590	1027	711
591	1029	709
592	1033	709
593	1035	707
594	1037	706
595	1038	704
596	1040	702
597	1041	700
598	1042	698
599	1044	696
600	1045	694
601	1048	693
602	1051	692
603	1054	691
604	1056	689
605	1058	688
606	1059	686
607	1063	685
608	1065	683
609	1067	682
610	1068	680
611	1070	678
612	1072	676
613	1074	675
614	1077	674
615	1079	673
616	1081	671
617	1083	669
618	1084	667
619	1086	665
620	1087	663
621	1089	661
622	1091	660
623	1093	658
624	1096	657
625	1098	656
626	1099	654
627	1101	652
628	1102	650
629	1104	648
630	1107	647
631	1108	645
632	1111	644
633	1114	643
634	1116	641
635	1117	639
636	1118	637
637	1120	635
638	1122	634
639	1124	632
640	1125	630
641	1126	628
642	1128	626
643	1129	624
644	1130	622
645	1132	620
646	1133	618
647	1134	616
648	1137	615
649	1140	614
650	1142	612
651	1144	610
652	1145	608
653	1148	607
654	1149	605
655	1152	604
656	1153	602
657	1154	600
658	1155	598
659	1157	596
660	1158	594
661	1159	592
662	1161	590
663	1162	588
664	1163	586
665	1165	584
666	1167	582
667	1168	580
668	1169	578
669	1170	576
670	1171	574
671	1173	572
672	1174	570
673	1175	568
674	1176	566
675	1177	564
676	1179	562
677	1181	561
678	1182	559
679	1183	557
680	1184	554
681	1185	552
682	1187	550
683	1188	548
684	1189	547
685	1190	545
686	1192	543
687	1193	541
688	1195	539
689	1196	537
690	1197	535
691	1198	533
692	1200	531
693	1201	529
694	1202	527
695	1204	525
696	1205	524
697	1206	522
698	1208	520
699	1210	518
700	1211	516
701	1213	515
702	1214	513
703	1216	511
704	1217	509
705	1218	507
706	1219	505
707	1221	503
708	1222	501
709	1223	499
710	1225	498
711	1226	496
712	1228	494
713	1229	492
714	1231	490
715	1232	488
716	1233	486
717	1234	484
718	1235	483
719	1237	481
720	1238	479
721	1239	477
722	1241	475
723	1243	473
724	1244	472
725	1246	470
726	1247	468
727	1248	466
728	1249	464
729	1250	462
730	1252	460
731	1254	459
732	1255	457
733	1256	455
734	1258	453
735	1259	451
736	1260	449
737	1261	447
738	1263	446
739	1264	444
740	1265	442
741	1266	440
742	1268	438
743	1269	436
744	1270	434
745	1271	433
746	1274	431
747	1275	429
748	1276	427
749	1277	425
750	1278	424
751	1280	422
752	1281	420
753	1283	418
754	1284	416
755	1285	414
756	1286	413
757	1287	411
758	1289	409
759	1290	407
760	1291	405
761	1292	403
762	1293	401
763	1294	400
764	1296	398
765	1298	396
766	1299	394
767	1301	393
768	1302	391
769	1303	389
770	1304	387
771	1305	385
772	1307	383
773	1308	381
774	1309	380
775	1310	378
776	1312	376
777	1313	374
778	1315	373
779	1316	371
780	1317	369
781	1318	367
782	1319	365
783	1320	363
784	1322	362
